no,VOC,pred,pred_수정
3830,진료과도 찾기 편하였고 좋았습니다,"['의사_긍정','시설/환경_긍정']",['시설/환경_긍정']
3831,병실 노후화로 인해 어둡고 불편함,['시설/환경_부정'],
3835,본관 화장실이 휠체어 탄 채로 사용하기 너무 좁고 불편했어요 엘리베이터도 환자전용으로 된 엘리베이터가 따로 없으니 검사나 처치실 갈때 좀 불편했습니다,['시설/환경_부정'],
3849,현재는 없지만 앞으로 관심있게 찾아보겠다,[],
3857,진료 대기실 음향시설을 좀개선부탁드립니다 저는나이가있어그런지 저의 차례에  호명할적에 발음을  알아들을수가없어 상당히 분편 했습니다ㆍ,['시설/환경_부정'],
3861,"환자수가 많아서 의사 선생님과 대화는 하기 어려움.
다음 환자 때문에 진료사항 대화 없이 밀려 나오는 느낌.
의사 선생님의 고충도 이해가 됩니다 만
환자로서는 진료사항 설명을  자세히 듣고자 하급 병원의 진료의뢰서를 가지고 대한민국의 의과대학 병원에 갑니다.
그렇지  못해서 아주 아쉽습니다.
외래진료 의사 선생님수를 증가 해서라도 또는 다른 방안으로 라도
 환자가 만족하는 진료사항 설명이 되면 감사하겠습니다 ",['의사_부정'],
3863," 접수 방법과 정산 방법이 키오스크를 통하여서 편리하긴 하지만, 나이가 있으신 분들은 어려워하시는 것이 보였습니다. 병원이라는 특성상 주이용 연령대가 높은 편이기에, 이러한 점이 아쉬웠습니다.
 명료한 안내문이 있으면 연령대와 무관하게 편리한 부산대학병원이 될 수 있을 것 같습니다.",['병원시스템_부정'],
3869,이미 완벽합니다.,['시설/환경_긍정'],[]
3871,"주차문제..간호사의응대(말투도퉁명스럽다
대기시간도그렇고 특히예약을왜하는지모르겠다.
오는순서대로접수받고진료해주면서 궂이 
예약을왜해야하는지이해안감 아파서가고
먼곳에서 시간써가며가는데 예약시간맞추기위해
출근시간 러시를뚫고가는데 예약의의미가전혀없음","['주차_부정','간호사_부정']","['주차_부정','간호사_부정','대기시간_부정']"
3875,"1.병실 침상을 자동으로 교체가 필요하다
    환자가 불편하고 보호자가 불편하다
    요즘 병원마다 수동침상은 없다
2. 원무과에 갔어 진단서등 확인을 위해서 환자가 거동 
    할수가 없는데 환자를 동행하라고 하니 
    너무 불편하고 이것을 간호사가 싸인한것으로 서류.         를 뗄수 있으면 합니다
3.재활치료시 기구가 너무나 열악함
  전동자전거 설치하면
로봇치료기 가능한 설치하면 환자의 재활이 많은 도움이 될것입니다","['시설/환경_부정','병원시스템_부정']",
3886,"만족은 마음에 있는것같습니다
향상되는것
예전을 생각하면 고마운 환경과 병원
더욱
발전을 소망해봅니다",['시설/환경_부정'],['시설/환경_긍정']
3889,"식단이너무동일하고아침식단이성의가없다,국은빨간국물에호박과두부가들어간국이아침에는먹기가고역이며치커리무침또한아침에는적당하지가않은것같다
동한식단이라도반찬이번갈아나오면좋겠다,수고하십시요",['시설/환경_부정'],
3903,"식중독인지  장염인지  결과를모름,, 음식은먹을때 유리한점,,불리한점을  몰랐음",['진료경험(진료/투약/검사/회진)_부정'],
3905,아침에는 맑은 국 이였으면 좋겠습니다,['시설/환경_부정'],
3909,"진료예약 시간에
10 ~ 20 분차이의 진료는 충분히 이해가 되나
그 이상은 상당히 무리가 있는  대기시간때문에
아주 불편함",['대기시간_부정'],
3913,아직개선점은 모르겠습니다,['진료경험(진료/투약/검사/회진)_부정'],[]
3927,없음 최고,[],
3933,진료예약시간을 어느정도는 맞추어주면 좋겠 습니다. 접수후 대기하는 시간이 너무깁니다.,['대기시간_부정'],
3943,환자및 보호자 또는 외래진료방문자를 위한 휴식공간이 더 필요하다고 본다,['시설/환경_부정'],
3945,Blah,['시설/환경_부정'],[]
3953,"외래접수  2번창구 담당자 강진  매우 불친절하고   고객을 대하는 겅산한태도 불친절한 말투 반드시 개선 되어야할점 이구동성으로   고객들이한애기 꼭 참고 바람니다
 ",['직원_부정'],
3957,"간호사분이 뛰어다니는 모습에 조금은 어리둥절 했네요
무언가 준비가 덜 되어 그런가 생각을했네요
개인적인 생각입니다 ^^",['간호사_부정'],
3959,주차시설확장,['주차_부정'],
3971,에어컨 이넝수춥다,['시설/환경_부정'],
3973,주차 난 해소,['주차_부정'],
3976,간병채재  구성이 재대로 되지않음  .,['직원_부정'],
3979,입원할때마다 느끼는건데 정말 맛이없네요,['진료경험(진료/투약/검사/회진)_부정'],['시설/환경_부정']
3993,없름,['병원시스템_부정'],[]
3997,"대기시간이 많이 길어요
워낙 좋은 병원이라 환자들이 많아서 그렇지만 
기다리는 입장으론 힘들어요.
피검사를 오전일찍 하고  오후 늦게 진료보러 오면 
결과가 나왔었는데 꼭 하루가 지나야 결과를 알 수 있어 
이틀 병원에 와야해서 조금  불편해요 
이것도 환자가 많아서 그렇겠죠?",['대기시간_부정'],
3999,"다좋은듯...별로 불편한점은 아직 없습니다..
수고하세요~~~^^",['진료경험(진료/투약/검사/회진)_부정'],[]
4001,만족,[],
4005,수납부터 예약대기 진료대기 기다리는게 너무심함,['대기시간_부정'],
4007,대기시간 줄여주세요,['대기시간_부정'],
4009,깔끔하고 찾기쉽게 잘 되어있었습니다.,['시설/환경_긍정'],
4012,"불편함을 못 느꼈기에, 개선 여부는 없습니다.",['진료경험(진료/투약/검사/회진)_부정'],[]
4013,전문한  동일,['진료경험(진료/투약/검사/회진)_긍정'],[]
4022,전 김치를 많이 먹는편이라 한두쪽정도가 모자랍니다,['시설/환경_부정'],
4024,안내데스크(접수)쪽에계신분들 <BR/>환자나 보호자입장에서는 서투르고 <BR/>모를수잇는부분 상담시 바쁘시더라도 친절하게 대해주심 감사하겟습니다.,['직원_부정'],
4027,간호사 교육이 필요함<BR/>,['간호사_부정'],
4030,딱히 개선점.....없는것 같아요,['병원시스템_부정'],[]
4031,고액 검사항목은 꼭 필요시만 검사해 주세요,['진료경험(진료/투약/검사/회진)_부정'],
4036,어쩔수 없는건데 기다리는 시간이 좀 오래걸리면 힘들기는 합니다,['대기시간_부정'],
4043,주차가편했으면 좋겠습니다 아기수유실도 편했으면합니다,"['시설/환경_부정','주차_부정']",
4047,너무너무 수고 많으세요~ 늘 감사합니다,['진료경험(진료/투약/검사/회진)_긍정'],
4053,간호사분들이 친절했음,['간호사_긍정'],
4054,환자가 많아서 어쩔수없지만 대기시간이 길어서 힘듭니다,['대기시간_부정'],
4056,내부 및 외부 주차장이 병원 규모에 비해 적은 것 같습니다.<BR/>확충 필요.<BR/>내부 주차장은 매우 협소,['주차_부정'],
4060,주말이 껴있어 담당선생님을 못만나고 퇴원해 아쉬웠다 ,['의사_부정'],
4081,진료시 치료과정에 대해 설명 좀 해줬음 좋겠음,['진료경험(진료/투약/검사/회진)_부정'],
4083,내가본 단원병원은. 너무 만족합니다,[],
4084,예약시간 보다 더기다리는  것이   좀불편한점,['대기시간_부정'],
4088,평소에 다니던 병원이고 주말에 불가피하게 응급실을 방문했는데 진료기록내역을 확인했다고 하셨는데 무시하고 불필요한 검사를 받게하고 검사를 받는 와중에 왼손에 수액바늘이 꽂혀져있었는데 간호사의 실수로 바늘이 빠지며 피가 줄줄 흐르게 됐고 사과 한마디도 듣지 못했네요,"['진료경험(진료/투약/검사/회진)_부정','간호사_부정']",
4094,전반적으로 만족<BR/>,['시설/환경_긍정'],[]
4097,가병인이.  많이필요하신 분도계시곘지만. 그렇지 않은 분도. 계신것을. 고려해주십시요,['병원시스템_부정'],
4098,없읍니다,[],
4101,잘 모르겠습니다.,['진료경험(진료/투약/검사/회진)_부정'],[]
4102,주차공간의 부족,['주차_부정'],
4104,"청각장애인 을 배래하여 자막정광판을
가동 했으면 ",['시설/환경_부정'],
4107,검사결과를<BR/>일주일  기다려야하는<BR/>불편함이  있네요,['대기시간_부정'],
4111,일반식당을  운영바랍니다,['시설/환경_부정'],
4121,괜찮아요,['시설/환경_긍정'],[]
4128,짧은시간이라잘은모르지만종사자모든분들이친절하시고상냥하셔서좋았습니다,['직원_긍정'],
4154,"의사 선생님이 환자말을
경청해 주셧으면 좋겠어요.",['의사_부정'],
4170,검진 종료 후 개략적인 의사가 설명해주셨으면 감사하겠습니다,['의사_부정'],
4176,"밖에서. 기다리라고 할때
조금더 편안한  분위기가 
시설이 좋은것에. 비해 부족했 습니다",['시설/환경_부정'],
4182,좋좋았슴니다.,[],
4183,주차문제 ,['주차_부정'],
4187,잘돼어있는것같습니다,['진료경험(진료/투약/검사/회진)_긍정'],[]
4189,호흡기 1내과 간호사님 환자가 많아 수고하시는건 이해하는데 질문하기 눈치가 보일정도로 태도가 냉냉했습니다.,['간호사_부정'],
4190,입구에서 접수시 혼잡,['예약/접수/수납/입퇴원_부정'],
4194,간호사님들의 친절과 병실 환경이 좋았습니다<BR/>하지만 보호자가 없는 통합 서비스부분은<BR/>어느부분이 통합서비스인지 구분이 모호 했습니다<BR/>환자가 느낄수 있는 확실한 서비스 개선이 필요 할듯 합니다<BR/>,"['시설/환경_긍정','병원시스템_부정','간호사_긍정']",
4195,병원전체가깨끗하니좋았습니다,['시설/환경_긍정'],
4197,네. 개선점은.  잘모르겠네요,['병원시스템_부정'],[]
4200,"제철재료로 신선샐러드 보강
좀더 특색있는 반찬 1가지 정도는 식단조절에 추가",['시설/환경_부정'],
4202,검진후 의사와 면담할수 있는 시간이 있었으면 좋겠어요 ,['의사_부정'],
4208,처음 접햇는데 신뢰가 갔습니다,['진료경험(진료/투약/검사/회진)_긍정'],
4212,청사시설 개선,['시설/환경_부정'],
4222,"주차장을
더 늘려주세요",['주차_부정'],
4232,입원시 검사 시간을 미리 사전에 고지해줬으면 합니다.,"['진료경험(진료/투약/검사/회진)_부정','병원시스템_부정']",['병원시스템_부정']
4244,병실 청소가 조금 미흡했습니다.,['시설/환경_부정'],
4254,"검사  간호사들의 형식적인 대답
불친절",['간호사_부정'],
4273,양별님 간호사라는 분만 친절하면  단원병원은 저에겐  최고의 병원입니다,"['의사_긍정','간호사_긍정']",['간호사_부정']
4276,전와 동일,[],
4282,화장실 문..?,['시설/환경_부정'],
4286,"샤워실안에 목욕시설에 핸드폰을 올려놓는 선반인줄 알았으나 
핸드폰이 뒤로넘어가서 애먹었습니다 . 
떨어트린후에 작은 문구를 보았습니다 . 
글씨가 너무 작아서 미쳐보지못했습니다 . 
글씨를 키워서 다시 적어붙이거나 , 선반을 만드는것이 좋겠습니다 .
",['시설/환경_부정'],
4292,비보험 진통제가 있는줄 몰랐습니다 ㅠ..,['병원시스템_부정'],
4300,없습니다. 만족 합니다.,[],
4304,면회가 되지 않으나 1층에 내려가면 외래환자와 뒤섞여 면회보다 더 감염에 노출됨. ,"['진료경험(진료/투약/검사/회진)_부정','병원시스템_부정']",['병원시스템_부정']
4310,환경도 좋고 모두가 친절 하여서  개선 할 점은 따로 없는 듯 합니다,['시설/환경_긍정'],"['시설/환경_긍정','진료경험(진료/투약/검사/회진)_긍정']"
4320,"접수/ 수납 / 제증명 발급  직원들은 정말 정말  불칟절합니다.

제발   교육좀 잘 시키길 부탁드립니다!",['직원_부정'],
4322,주차문제와 코고는 환자를 분리해줬으면 좋겠습니다 ,['주차_부정'],"['주차_부정','시설/환경_부정']"
4338,경희의료원 건물 구조상 원하는 진료과의 위치를 직관적으로 찾기가 쉽지는 않은 것 같습니다. 입간판 외에 바닥에도 가이드화살표 같은게 있으면 좋을 것 같습니다. 예를들면 서관에 위치한 진료과들은 바닥에 파란색 화살표를 따라가고 별관은 초록색 화살표를 따라가면 된다고 설명하면 연세가 많으신 분들도 직관적으로 건물을 찾아서 헤매이는 소요를 줄일 수 있을 것으로 생각되어 건의드려 봅니다.,['시설/환경_부정'],
4346,다좋은것 같습니다,['진료경험(진료/투약/검사/회진)_긍정'],[]
4352,간호사들이 주사나 헐관을 찾는데 시간ㅇ 많이 걸리고 잘몬하여 피멍이 시퍼렇게들어 퇴원 후에도 많이 아팠다.,['간호사_부정'],
4360,"카페..식당이 너무 협소합니다.대학병원인데 면회와도 밥먹을때가 마땅치 않아요.주차장도 너무 협소하고요.
후타니마스 암병동 생기고 경희의료원 좋아졌다고
주위에서
얘기하시는데 좀더 병원안 편의시설 늘렸으면 합니다.","['시설/환경_부정','주차_부정']",
4372,입원실 온도가 높다.,[],['시설/환경_부정']
4375,병실이넘좁고불편,['시설/환경_부정'],
4392, 지방에도 경희 의료원이 많이 있으면 좋겠습니다,['시설/환경_부정'],
4424,주차장 이용 불편,['주차_부정'],
4436,깨끗합니다,['시설/환경_긍정'],
4454,없어요 ,[],
4468,"투약 등을 보호자가 해야하는데 관련서비스(간병인?)도 선택할수 있음 좋겠습니다 

보호자도 같이 자야하는데 간이침대라도 제대로 돼 있음 좋겠습니다 보호자로 입원했다가 제가 몸이 불편하고 힘들었습니다","['시설/환경_부정','진료경험(진료/투약/검사/회진)_부정']","['시설/환경_부정','병원시스템_부정']"
4500,"우선 예약시간을 왜하는지 모르겠음 어차피 계속 기다려야함
입원시 주차비도 너무비싸고 화장실,샤워실도 군보다 못함","['대기시간_부정','주차_부정']","['대기시간_부정','주차_부정','시설/환경_부정']"
4517,직원들이 대부분 불퉁거리며 친절하지 않아 불쾌한점이 많았습니다. 몰라서 물으면 안내보다는 귀찮타는 말투로 임하는 직원이 많아 굉장히 아쉽습니다.,['직원_부정'],
4526,"Ekg 촬영시 최소한의 신체노출했으면 좋겠다
원피스 입었는데 위에까지 다 올림

진단검사실 직원들 자기들끼리 얘기할때는 밝은톤이었는데 환자한테는 무척 쌀쌀맞음",['직원_부정'],"['직원_부정','진료경험(진료/투약/검사/회진)_부정']"
4528,"주차장과 병원왕래가 편했으면 좋을듯
불편한 환자를 모시고 병원을 들어가기가 너무 어렵고 힘들어서 주차장에 안내해주는분이라도 있었으면함
훨체어로 이동해야하는 환자들 배려가 전혀 안되어있었음","['시설/환경_부정','주차_부정']",
4529,환자가 많아서 대기시간이 너무 긴게 단점이네요 예약해도 30분이상 대기해야되는게 너무 불편합니다,['대기시간_부정'],
4540,의사 ,['의사_부정'],[]
4544,처음 가는 사람은 병원안이 너무 복잡해서 부서 찾기가 힘들었습니다.,['시설/환경_부정'],
4548,"설명을 제대로 해주던가 본인들도 본인이 뭘 하는지 전혀 모르던데요

독감검사랑 코로나 검사 하러 갔더니 채혈실 직원은 짜증투로 말하고 코로나 검사하는 곳 직원은 뭔 바코드가 두개라고 독감검사는 안하는거라는 둥 뚱땅맞은 소리나 하던데
병원이 커서 그렇다는건 알지만 본인들이 뭘 해야할지 정리도 안된 기분이네요 주사실 수납하는 직원도 환자가 주사를 맞았는지 안맞았는지도 모르고 수납만 해버리고 다음 진료가 뭔지 알려주지도 않고 여러모로 참 부족함이 많은 병원이라고 느꼈어요 동네 작은 병원 가고말지 굳이 다시 가고싶지 않네요","['진료경험(진료/투약/검사/회진)_부정','직원_부정']",
4560,실습생이 너무 많아 복잡하다,['병원시스템_부정'],
4568,하이패스 등록시 일정변경이 무조건 병원에 전화해서 변경해야지만 가능하므로  카톡상담및 전화상담없이도 하이패스 등록자는 쉽게 진료날짜변경이 가능하게 전산 프로세스를 변경해주셧으면 합니다..,['병원시스템_부정'],
4570,주차장 출구 회전통로 이용시 큰 차량 고객들은 까다로우실꺼 같네요,['주차_부정'],
4573,열심을다합니다<BR/>,['진료경험(진료/투약/검사/회진)_긍정'],[]
4577,"간호사실에서 너무 시끄럽게  떠듭니다
특히 항암주사실",['간호사_부정'],
4591,주차가좀 개선되었음좋겠어요,['주차_부정'],
4599,"심장내과 대기석 의자가 너무 불편합니다. 앉아있다보니, 등이 너무 결려요",['시설/환경_부정'],
4601,"급하게 진료가 필요해서 내원했는데,
담당 과장님 근무가 아닐때(오전/오후)
대리 과장님 진료가 안 되는점 개선을
요청드립니다.
감사합니다.",['병원시스템_부정'],
4603,주차구역이 조금더 넓었으면면 좋겠습니다,['주차_부정'],
4606,치료를 위해 첫방문자분들의  진료과 위치설명및 위치도가.  많았으면 합니다,['진료경험(진료/투약/검사/회진)_부정'],['시설/환경_부정']
4647,대기시간이 긴데 앉아서 기다리는 쇼파가 불편합니다.,"['대기시간_부정','시설/환경_부정']",
4648,특결히 불편 한것은 없습니다,['진료경험(진료/투약/검사/회진)_긍정'],[]
4661,"엘리베이터가 부족한듯 싶네요
",['시설/환경_부정'],
4677,"접수와 예약 창구가 적고, 대기 시간이 조금 길었습니다. 인원을 조금 더 늘렸으면 좋겠습니다.",['대기시간_부정'],
4679,잘몰라서 헤매서 잘못가면 짜증내는 직원이 있다,['직원_부정'],
4689,"수납하시는분의 응대가 의사,간호사 선생님에 비해 아쉬웠음. 같은 설명 반복하는게 지겹긴 하겠으나 환자들은 첨겪는일임..기계인줄...그 외에 간호사,의사 선생님들, 앞에서 안내해주시던분은 다들 친절하셨어요.","['직원_부정','직원_긍정','의사_부정','의사_긍정','간호사_긍정']","['직원_부정','직원_긍정','의사_긍정','간호사_긍정']"
4699,주차난이너무 심함,['주차_부정'],
4705,불편한점은  없습니다,['진료경험(진료/투약/검사/회진)_긍정'],[]
4709,검사 내용 부작용에대한 설명이 많이 부족하다,['진료경험(진료/투약/검사/회진)_부정'],
4719,"처음 이라  아직,.
담기회에..",['병원시스템_부정'],[]
4723,의료진분들 어려운 시국에 화이팅들하세요~^^,"['의사_긍정','간호사_긍정']",
4725,정산하는 기계가 없다. 정산하는 기계가 필요해요,['병원시스템_부정'],
4733,예약한 시간을 지켜주세요,['대기시간_부정'],
4741,기다리는시간을 줄여주었으면 좋겠어요,['대기시간_부정'],
4744,대기시간이 너무많이 걸렸습니다.,['대기시간_부정'],
4753,"환자 식단이 좀 뮨제있어 보였음
좀더 건강식이 였으면 좋겠다싶었고
특히 암환자들이 먹을만한 음식은 아니였음
매끼니 신선한 야채나 셀러드 정도는 준비되면 좋겠다싶음
저는 다음에 항암하러 갈때
집에서 음식을 준비해 가져가야 겠구나하고 느낌",['시설/환경_부정'],
4758,좀더 친절했으면 좋겠어요ㅇㅅ,['진료경험(진료/투약/검사/회진)_부정'],
4759,1차 진료시 간호사의 말투가 너무 강압적이고 묻는말에 귀찮다는듯 답변함.,['간호사_부정'],
4764,"내시경실에서 바늘꽂아놓은것이
간호사가 왔다 갔다하면서 걸려서 불안했음",['간호사_부정'],
4767,"예약시간보다 대기 시간이 한 시간 이상 소요. 
예약시간관리가 필요할 것 같음. ",['대기시간_부정'],
4771,시설환경,['시설/환경_부정'],[]
4777,특별한 사항은 없습니다.,"['진료경험(진료/투약/검사/회진)_부정','병원시스템_부정']",[]
4779,모르겟읍니다,[],
4781,"1층 입퇴원, 접수 수납 데스크 쪽이 사람이 많아
붐빌때는 정신 없이 복잡하더라고요.
병원 들어섰을때 외래 예약이 되어있으면 수납이 먼저인지
진료과에 먼저 가는건지 뭔가 설명이 좀 부족해서
나이 드신 분들은 더 이해하기 힘드실 것 같아요.
서류 발급이나 수납쪽 시스템이 더 알아보기 편하게
개선되면 좋겠습니다.","['병원시스템_부정','직원_부정']",['병원시스템_부정']
4787,응급실과 주차장주변 동선의 혼잡,['주차_부정'],
4789,"내원은 아니고
입원환자 보호자로써 병실 화장실 세면대등에 곰팡이도 있어  이건 아닌것같습니다
여사님들도 땀흘리며 일하시던데  위생 인력이 부족한가 싶습니다","['시설/환경_부정','병원시스템_부정']",
4795,주차장 확장,['주차_부정'],
4801,"병원 내 약국 담당 여직원인지 약사님인지 모르겠지만 나이  많으신 어르신에게 불친절하게 응대하는 모습이 안타까웠습니다.
나이 많으신 분들이 현대화 시스템인 병원 구조에 대한 어려움이 있는건 당연한데 아주 간단한 문의에도 짜증스러운 말투와 불편한 시선은 너무 무례하다고 생각되어졌습니다.","['직원_부정','의사_부정']",['직원_부정']
4803,잘 모려겠음,['진료경험(진료/투약/검사/회진)_긍정'],[]
4807,아직 모르겠어요  ,[],
4813, ,[],
4823,접수할때 너무 기다려서 불편합니다,['대기시간_부정'],
4827,친절한 간호사님 의사님의 친절에 감사드립니다.,"['의사_긍정','간호사_긍정']",
4829,"몇%의...로봇같은표정,설명,말투는듣기안좋았습니다!",['의사_부정'],['진료경험(진료/투약/검사/회진)_부정']
4832,"대기사간이 너무 길고
길어지는 대기시간에 대한 배려가 필요하다고 생각 합니다",['대기시간_부정'],
4833,"안내받은 약국에서 처방을 받는데 어떤약인지, 어떤효과를 받는지 설명 없이 약만 주셔서 조금 당황했습니다. 
보통 약봉지에라도 약에대한 설명이 인쇄되어있는데 하얀약봉투에 약먹는 시간만 기재되어있어서 제가 따로 처방받은 약을 검색해봤었습니다. ",['진료경험(진료/투약/검사/회진)_부정'],
4834,저는만족합니다,['진료경험(진료/투약/검사/회진)_긍정'],[]
4854,약국과 병원이 따로 있어서 불편했습니다,['시설/환경_부정'],
4861,과들이 너무 분산되어 있어 찾아다니는데 좀불편하였슴,['시설/환경_부정'],
4863,이빈후과 이용했을때 청력검사할때 혼자서 검삿를 하셔서 오랫동안 기다려서 불편했다 검사 해주시는 선행님은 친절하게 설명해주시고 끝날때까지 세심하게 도와주셨습니다,['직원_긍정'],"['직원_긍정','대기시간_부정']"
4865,아직은 없는것 같습니다.,['병원시스템_부정'],[]
4869,없는데요 ,[],
4873,"진료와 검사등이 순서를 생각하고 동선이 최소화되었으면 좋겠고, 순서가 바뀌어서 검사가 소용없게 되는 일이 없었으면한다.환자는 그걸 잘 모르니까 병원 측에서 똑똑하게 해주셔야 할 것 같다.",['시설/환경_부정'],
4875,주차시설 이용이 좀 불편함,['주차_부정'],
4880,"초음파 검사하시는 남자 의사선생님은
좀 무서운이미지 ㅠ  무뚝뚝
여자선생님으로 바꿔주시면 좋겠습니다
",['의사_부정'],
4889,"전박적으로 괜찮았음
",['시설/환경_긍정'],[]
4892,음식점이 많지않아 나가서 먹어야되고 진료대기 시간이 길어 병원에 2  3시간씩 있어야됩니다,"['대기시간_부정','시설/환경_부정']",
4897,환자이름 호명할때 잘안들립니다,['진료경험(진료/투약/검사/회진)_부정'],
4900,"이건 외래와 상관 없이 첫 방문했을때 평가지에 못적었던 내용입니다 

응급실에 계시는 원무과 남자분들 너무 불친절하세요 
처음부터 불친절하게 말하니 기분이 나쁘더라구요 
필요한 검사결과지가 무엇인지 자세히 말해주지도 않고 
그냥 짜증내듯이 검사결과지를 달라고 하시면 
여태까지 받은 검사가 몇개나 되는데 어찌 압니까 
좀 친절하게 대해주셨으면 좋겠네요 

직원들에게 친절하게 대해 달라는 문구를 본거 같은데 
왜 그 직원들은 환자들한테 불친절하게 대하시는지 참 이해가 안되네요 ",['직원_부정'],
4905,"예약을 했지만 대기시간이 너무 깁니다.
예약의 의미가 있는건지 아쉽습니다.",['대기시간_부정'],
4911,만족하버다,[],
4913,청결,[],
4914,"식사가 조금 불만이었습니다. 음식이 조금씩 식어 있었고,딱딱하게 귿은부분도 있었습니다",['시설/환경_부정'],
4918,직원들이. 환자들에게 친절하게 대햇으면 좋겟다,['직원_부정'],
4927,대채로 잘하는것같씁니다,['진료경험(진료/투약/검사/회진)_긍정'],[]
4933,없음ᆢ,[],
4935,"주차하기 너무힘들어요
개중에 불친절분도
있었고요",['주차_부정'],"['주차_부정','진료경험(진료/투약/검사/회진)_부정']"
4938,"차막힘
 주차칸이 아닌곳에 주차한 차량이 꽤나 있음
대기장소가 협소함","['시설/환경_부정','주차_부정']",
4943,아직까진  느낀적이  없다,['병원시스템_부정'],[]
4951,딱히 없음,['병원시스템_부정'],[]
4959,"차량이 많아 주차가 좀 힘들었습니다.
대부분 모두 친절하게 해주셨지만 간혹 진료검사 중 간호사님의 투박한 설명으로 몸이 불편하신 부모님께서 살짝 언짢아 하셨습니다~~","['주차_부정','간호사_부정']",
4961,"주차장 너무 불편
새로운 곳으로 이전해서 시설과
환경이 더 좋아졌으면 한다.","['시설/환경_부정','주차_부정']",['주차_부정']
4964,다인실인데 화장실이 2개 뿐이어서 좀 불편했습니다,['시설/환경_부정'],
4969,잘 모르겠어요 ,['진료경험(진료/투약/검사/회진)_부정'],[]
4971,주차타워 건설,['주차_부정'],
4973,주차가 정말 헬이고.. 주차자리가 없어 본관에 차대고 신생아를 데리고 이동해야하는것이 너무불편하고..  요번진료때 재활의학과 초음파진료가있었고 환자는140일경된 영아였는데 안내문에도 본관으로 써있고 재활의학과 간호사도 본관이라고 잘몬 알려주어 ..아기랑 여성병원과 본관을 여러차례이동해야했다. 그와중에 여성병원은주차시설이 부족해서 본관에 차놓고 두건물을 왔다갔다 ..더운날이라 더 미쳐버릴것같았는데..  일반 재활의학과나 이비인후과등 에 소아를위한 안내가부족하고 잘못프린트된 안내문은 바꿔줬으면 좋겠다,"['시설/환경_부정','병원시스템_부정','주차_부정']",
4981,대체로 좋았어요 음식만 빼고,['시설/환경_부정'],
4987,응급의료시설 개선   의료기계  충원이  시급  한것 같습니다.,['시설/환경_부정'],
4989,불편한점은 전혀없습니다,['진료경험(진료/투약/검사/회진)_긍정'],[]
4991,앞의 의견 참고바람,[],
4993,"간호사 인위적인 친절, 말투만 친절하려고 노녁 대하는 태도는 무시한다
전반적 접수대, 체혈실, 담당간호사, 주사실
어디든 같았고 기계적인 말투와 조금 질문하면 짜증을 참는 표정 , 을 짓는다 그나마 영상실은 친절하다

특히 담당 간호사 를 2명을 둬야지 사람이 몰릴때 
혼자 설명하기 벅차고 환자의 대기시간이 그 설명 기다리느냐고 늦어지는 비효율적인 시간낭비가 일어난다
바쁜간호사는 뭐라도 물어보면 짜증나듯 응대하며
정신없어 보여 환자가 제대로 전달받앗는지 불안하다

다른 병원은 담당간호사 2명 이상인데
어떻게 1명이. 상담할때 같이 들어가고 설명하고 자료뽑고 또 다음대기환자 들어가야해서 설명 못알아듣게 빨리하고 질문하기도 눈치보이게 하고 대기시간 길어지고 
서비스가 엉망이다.",['간호사_부정'],
4995,너무 더워ㅛ,['시설/환경_부정'],
5005,발견 못했습니다.,['진료경험(진료/투약/검사/회진)_부정'],[]
5011,내시경결과 산부인과결과는 의사쌤이 직접 뵙고 설명 듣기를 웟해욪,['의사_부정'],
5015, 의료진 친절한 마인드 필요,['의사_부정'],"['의사_부정','간호사_부정']"
5019,좀. 답답했읍니다. ,['시설/환경_부정'],
5020,청결한 환경,['시설/환경_긍정'],
5025,늘친절과좋은환경이좋았습니다,['시설/환경_긍정'],"['시설/환경_긍정','진료경험(진료/투약/검사/회진)_긍정']"
5031,휠체어가 부족하고 정상으로 작동이 잘안되는 종종 있다,['시설/환경_부정'],
5035,환자 및 방문자의 휴계 공간이 작음,['시설/환경_부정'],
5037,ㅡ,[],
5041,"혈액종양내과에 조희정교수는 환자에대한배려도없고
설명도없으시며 아무렇지않게넘기는 태도에 이병원을비추천합니다",['의사_부정'],
5044,더이상 바랄것이 없네요  현재 만으로도 감사드립니다,['진료경험(진료/투약/검사/회진)_긍정'],[]
5047,간호사 업무가 많아 보이니 인력 보강이 필요해 보임,['병원시스템_부정'],
5051,기다릴때좌석이부족함,['시설/환경_부정'],
5056,제가보기엔 불편한점이 일도없네요,['진료경험(진료/투약/검사/회진)_긍정'],[]
5065,지하1층 푸드에 음식점들의 맛이 없어서 좀 실망스러웠어요ㅠ,[],
5079,주차공간이 부족한편이고 주차비가 타병원에비해서 너무비싸다는것을느끼계되었다~~^^,['주차_부정'],
5088,다만족해요,[],
5090,진료과 접수창고 동선이 이상함. 어디에서 접수해야하는지 모르겠음,['시설/환경_부정'],
5092,윈무과 수납방법을 한 번에 다 서류나 수납을 할수있으면 좋겠다  라는 생각해봤습니다,['병원시스템_부정'],
5108,건물관련?주차장으로 내려가는 방향과 도보가 같이 있어 주차관리요원들이 있지만 조금은불안..,['주차_부정'],
5110,주말에 입원하는 환자들도 있을법한데 주말 오전만이라도 셔틀운행하는 방향으로 했으면 좋겠다,['시설/환경_부정'],
5112,주차장 들어오고 나가는 길이 뒤엉키는 동선 문제 해결,['주차_부정'],
5118,주차장 공간이 부족하다,['주차_부정'],
